,code,occurrence_count,definition,inclusion_criteria,exclusion_criteria,notes
Parameterized Oracle Type,Strong Oracle (Rule-derived),8,"The expected result is computed from an explicit rule,invariant, or formula.","The test derives the expected value using a mathematical rule, specification rule, or independent helper. Basically take a set of inputs, and transformed it through a function to a value.",The function should not be from another library. The test only checks a weak property such as non-nullness or exception occurrence. The expected value is simply a fixed literal for each input.,
Parameterized Oracle Type,Strong Oracle (Fixed for each input),46,"Each test input is paired with a specific expected output, usually as a fixed literal or predefined value. (this is only used for parameterized test cases)",Each parameterized row has its own expected result. The test uses input–expected-output pairs. Explicit exception check should be placed here as well.,The assertion only checks a broad range or property. The test only verifies that no exception is thrown.,One of the reason we do not make it explicit to split whether it would throw a specific error or return a specific value like single test oracle type is that a single test source code could test them both through if else statmenet in test code body. We often see such case in parameterized tests. 
Parameterized Oracle Type,Weak Oracle (Not Null),5,The test only verifies that the result is not null.,,,
Parameterized Oracle Type,Strong Oracle (Library-derived),13,"The expected result is obtained from a trusted external library, framework, or reference implementation.",The test compares the SUT output against an established library’s output.,The library is simply used to prepare input data. The external function is part of the implementation being tested.,
Parameterized Oracle Type,Strong Oracle (Fixed),17,The test checks the output or behavior against one fixed expected value. (this is only used for parameterized test cases),The test verifies one concrete expected behavior no matter how the input changes. (only consider this label when it is a parameterized test),,
Parameterized Oracle Type,Weak Oracle (Throw an error),2,"The test only verifies that some error or exception is thrown, without checking the exact error type or message.",,,
Parameterized Oracle Type,Coarse Oracle (Less Than),4,The test verifies that a value is below a threshold.,,,
Parameterized Test Type,Parameterized Test Case: Dynamically Generated Pairs (Rule Based),4,A parameterized test whose input or input–expected-output pairs are generated programmatically using an explicit rule.,,,Very interesting edge cases: please refer to https://github.com/google/gson/blob/c9f3fd55854a743b66f857ace3c7b268ea3e2ef7/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java
Parameterized Test Type,Parameterized Test Case: Iterate Different Class,7,"A parameterized test that runs the same test logic across multiple classes, implementations, types, or subclasses.",,,
Parameterized Test Type,Parameterized Test Case: Fixed Dataset,63,"A parameterized test that runs over a predefined set of manually specified inputs, and often expected outputs.",,,
Parameterized Test Type,Parameterized Test Case: Dynamically Generated Pairs (External Library & Rule),16,A parameterized test where cases are generated using both an external library and additional rule-based logic. We have not yet find the cases where the developers took the library output for the face value. They usually adjust or reformat the library output to create large scale of the oracle.,,,
Single Test Oracle Type,Strong Oracle (Throw a specific error),77,"
The test expects a specific exception",,,
Single Test Oracle Type,Strong Oracle (Return a specific value),147,The test expects the method to return a precise value.,"The assertion checks exact equality with a specific return value. (such as assertEquals, or assertTrue)","when seeing assertTrue, please make sure to check what is the statement inside, if it’s a single function then it is usually belong to this, but it could have another bolean check for less or larger than. Make sure to assign such a case to Coarse Oracle.",
Single Test Oracle Type,Weak Oracle (Not Null),15,The test only verifies that the result is not null and nothing else,The main assertion is assertNotNull.,"If the test also test the specific value the function return, we should mark them strong oracle instead of weak.",
Single Test Oracle Type,Weak Oracle (Throw an error),13,"The test only verifies that some error or exception is thrown, without checking the exact error type or message.",,"If the test also later test the specific error the function return, we should mark them strong oracle instead of weak.",
Single Test Oracle Type,Coarse Oracle (Less Than),3,The test verifies that a value is below a threshold.,,Please note that if the test also test the specific value after this coarse check. We should label the test with Strong Oracle.,
Single Test Oracle Type,Weak Oracle (Not the same),3,"The test checks that two objects or values are not the same, usually through identity or inequality, without specifying the expected correct value.",,,
Single Test Oracle Type,"Coarse Oracle (Larger Than, Less Than)",4,The test verifies that a value falls within a range using both lower-bound and upper-bound checks.,,,
Single Test Oracle Type,Coarse Oracle (Larger Than),2,The test verifies that a value is above a threshold.,,,
Single Test Oracle Type,Weak Oracle (Not Equal),2,"The test checks that the result is not equal to some value, but does not specify the exact correct value.",,The test also checks the exact expected value.,
Single Test Type,Multiple Unique Test Cases,150,When there are more than one one non-parameterized test case for this focal method,,,
Single Test Type,Inheritance for common test set,41,"When there are more than one one non-parameterized test case for this focal method. AND they are from the same source test code. This is the only case we found, and it is only due to inheritance for now.",,,
Single Test Type,One unique test case,9,When there is only one non-parameterized test case for this focal method,,,
